1/22/2017 6:43:11 PM;The market may surprise traders, but will $AADR? http://bit.ly/1VqwktN;Financhill
1/10/2017 7:46:08 AM;Seasonally, $AADR has risen 4.8% over next 26 weeks. http://bit.ly/1VqwktN;Financhill
1/1/2017 8:42:11 PM;Let&#39;s see if this trend comes to pass this year for $AADR. http://bit.ly/1VqwktN;Financhill
12/7/2016 2:43:14 PM;This seasonal trend for $AADR will be interesting to watch. http://bit.ly/1VqwktN;Financhill
11/24/2016 7:40:12 PM;The seasonality trend for $AADR might surprise traders this year. http://bit.ly/1VqwktN;Financhill
11/7/2016 2:21:56 AM;What&#39;s next for $AADR? http://bit.ly/1VqwktN;Financhill
10/30/2016 7:55:54 PM;Seasonally, $AADR has risen 7.9% over next 26 weeks. http://bit.ly/1VqwktN;Financhill
10/17/2016 11:45:06 PM;Let&#39;s see if the seasonality kicks in for $AADR. http://bit.ly/1VqwktN;Financhill
10/8/2016 3:29:05 AM;Let&#39;s see if this trend comes to pass this year for $AADR. http://bit.ly/1VqwktN;Financhill
9/23/2016 12:33:06 PM;This seasonal trend for $AADR will be interesting to watch. http://bit.ly/1VqwktN;Financhill
9/7/2016 5:12:15 PM;ETF Watch: Dorsey Wright Takes Over AdvisorShares Fund\n$AADR $TTFS $EFA http://www.etf.com/sections/daily-etf-watch/etf-watch-dorsey-wright-takes-over-advisorshares-fund;etfcom
9/7/2016 12:28:06 AM;Seasonality for $AADR could surprise traders. http://bit.ly/1VqwktN;Financhill
8/8/2016 6:35:12 PM;Over next 26 weeks, see how $AADR has performed seasonally. http://bit.ly/1VqwktN;Financhill
7/29/2016 10:56:08 PM;Bullish or bearish for $AADR? Seasonality says... http://bit.ly/1VqwktN;Financhill
7/26/2016 6:36:05 PM;$AADR [2016-MAY] Correlation Histogram Kurt : -1.3 Skew : 0.05 Mode : 0.3;DATAUNION
7/21/2016 12:29:47 AM;$AADR [2016-MAY] Correlation Histogram Kurt : -1.3 Skew : 0.05 Mode : 0.3;DATAUNION
7/19/2016 9:34:10 AM;Let&#39;s see if the seasonality kicks in for $AADR. http://bit.ly/1VqwktN;Financhill
7/15/2016 2:15:17 AM;$AADR [2016-MAY] Correlation Histogram Kurt : -1.3 Skew : 0.05 Mode : 0.3;DATAUNION
6/27/2016 12:18:50 PM;$AADR [2016-MAY] Correlation Histogram Kurt : -1.3 Skew : 0.05 Mode : 0.3;DATAUNION
5/30/2016 4:47:06 PM;Let&#39;s see if this trend comes to pass this year for $AADR. http://bit.ly/1VqwktN;Financhill
3/29/2016 3:30:03 PM;Top Decliners\n$1-15: $AADR $ZTEST $RXSF $EBODF $BPMX ...\n&gt;$5: $AADR $ZTEST $PBYI $KBIOQ $CONN ...\n&gt;$30: $SNX $MDVN $AVLY $HLUYY $RUSL ...;TickWatcher
3/24/2016 4:00:02 PM;#Dividend\n$AADR $CVA $CVY $DG $DIVI $DIVY $DJD $DKT $EMRE $ENY $FCFI $FLRT $FWDB $GHII $GIVE $HGI $HOLD $HYLD $LVHD $LVL $MAUI $MINC $MRV...;TickWatcher
3/21/2013 9:17:50 PM;Same thing here $CCE $KO $AADR http://stks.co/fPP8;CaptainJohn
